category|feature|source_evidence|frontend|c11|used_by_s|accepted_by_a1|lowered_by_a1|self_application|positive|negative|differential|status
builtin|read_text|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
builtin|starts_with|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|text_slice|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|trim|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_builtin_arity.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|validate_unicode_source|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_unicode.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_unicode.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|write_text|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
control|else-if|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_control.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_branch|a1-lower:corpus_branch|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_if_condition.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
control|for-range|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_control.hir|bootstrap/selfhost/c11/accept_loops.c|inventory:S|a1-accept:corpus_loop|a1-lower:corpus_loop|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_loops.kofun|bootstrap/selfhost/frontend/reject_range_bounds.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
control|if|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_control.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_loop|a1-lower:corpus_loop|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_if_condition.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
control|return-value|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_control.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_function|a1-lower:corpus_function|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_return_type.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
control|return-void|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_control.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_profile_complete|a1-lower:corpus_profile_complete|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_bare_return.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
control|while|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_control.hir|bootstrap/selfhost/c11/accept_loops.c|inventory:S|a1-accept:corpus_loop|a1-lower:corpus_loop|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_loops.kofun|bootstrap/selfhost/frontend/reject_while_condition.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
expression|boolean-operators|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_expressions.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_bool|a1-lower:corpus_bool|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_logical_operands.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
expression|comparison|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_expressions.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_loop|a1-lower:corpus_loop|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_comparison_operands.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
expression|direct-call|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_expressions.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_function|a1-lower:corpus_function|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_call_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
expression|indexing|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_expressions.hir|bootstrap/selfhost/c11/accept_lists.c|inventory:S|a1-accept:corpus_list_text|a1-lower:corpus_list_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_lists.kofun|bootstrap/selfhost/c11/trap_list_index.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
expression|integer-arithmetic|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_expressions.hir|bootstrap/selfhost/c11/trap_division.c|inventory:S|a1-accept:corpus_bool|a1-lower:corpus_bool|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_loops.kofun|bootstrap/selfhost/c11/trap_division.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
expression|text-concatenation|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_expressions.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_text|a1-lower:corpus_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_concatenation.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
host|command-line|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_host.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
host|file-read|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_host.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
host|file-write|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_host.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
host|stdout|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_host.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
literal|Bool|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_literals.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_bool|a1-lower:corpus_bool|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_negation_operand.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
literal|Int|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_literals.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_annotation_mismatch.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
literal|Text|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_literals.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_text|a1-lower:corpus_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_unary_operand.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
statement|assignment|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_statements.hir|bootstrap/selfhost/c11/accept_mutation.c|inventory:S|a1-accept:corpus_profile_complete|a1-lower:corpus_profile_complete|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_mutation.kofun|bootstrap/selfhost/frontend/reject_assignment_type.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
statement|immutable-local|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_statements.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_immutable_assignment.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
statement|mutable-local|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_statements.hir|bootstrap/selfhost/c11/accept_mutation.c|inventory:S|a1-accept:corpus_profile_complete|a1-lower:corpus_profile_complete|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_mutation.kofun|bootstrap/selfhost/frontend/reject_assignment_type.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
syntax|function-parameter|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_syntax.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_profile_complete|a1-lower:corpus_profile_complete|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_parameter_type.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
syntax|function-result|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_syntax.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_function|a1-lower:corpus_function|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_return_type.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
syntax|top-level-function|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_syntax.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_duplicate_function.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
type|Bool|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_literals.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_bool|a1-lower:corpus_bool|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_if_condition.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
type|Int|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_literals.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_annotation_mismatch.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
type|List[Text]|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_lists.c|inventory:S|a1-accept:corpus_list_text|a1-lower:corpus_list_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_lists.kofun|bootstrap/selfhost/frontend/reject_index_base.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
type|Text|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_literals.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_text|a1-lower:corpus_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_concatenation.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
type|Void|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_syntax.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/c11/reject_missing_return.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
